Count;DISTRICT;HUMAN INSTINCT;TYPE OF LAND;VLAND ID;COORDINATES;xy1_x;xy2_x;y3_x;xy4_x;Position X;Position Y;Cluster
13;District 1 Alpha;Curiosity;Deluxe;0995D;"1936, 122";"1952, 106";"1952, 138";"1920, 138";"1920, 106";1936.0000;122.0000;19
14;District 1 Alpha;Curiosity;Deluxe;0996D;"1936, 154";"1952, 138";"1952, 170";"1920, 170";"1920, 138";1936.0000;154.0000;19
15;District 1 Alpha;Curiosity;Deluxe;0994D;"1904, 154";"1920, 138";"1920, 170";"1888, 170";"1888, 138";1904.0000;154.0000;19
16;District 1 Alpha;Curiosity;Deluxe;0993D;"1904, 122";"1920, 106";"1920, 138";"1888, 138";"1888, 106";1904.0000;122.0000;19
17;District 1 Alpha;Curiosity;Deluxe;0976D;"656, 880";"672, 864";"672, 896";"640, 896";"640, 864";656.0000;880.0000;14
18;District 1 Alpha;Curiosity;Deluxe;0975D;"656, 848";"672, 832";"672, 864";"640, 864";"640, 832";656.0000;848.0000;14
19;District 1 Alpha;Curiosity;Deluxe;0973D;"624, 848";"640, 832";"640, 864";"608, 864";"608, 832";624.0000;848.0000;14
20;District 1 Alpha;Curiosity;Deluxe;0974D;"624, 880";"640, 864";"640, 896";"608, 896";"608, 864";624.0000;880.0000;14
21;District 1 Alpha;Curiosity;Deluxe;0977D;"-624, -848";"-640, -832";"-640, -864";"-608, -864";"-608, -832";-624.0000;-848.0000;15
22;District 1 Alpha;Curiosity;Deluxe;0981D;"624, -848";"640, -832";"640, -864";"608, -864";"608, -832";624.0000;-848.0000;16
23;District 1 Alpha;Curiosity;Deluxe;0984D;"656, -880";"672, -864";"672, -896";"640, -896";"640, -864";656.0000;-880.0000;16
24;District 1 Alpha;Curiosity;Deluxe;0982D;"624, -880";"640, -864";"640, -896";"608, -896";"608, -864";624.0000;-880.0000;16
25;District 1 Alpha;Curiosity;Deluxe;0983D;"656, -848";"672, -832";"672, -864";"640, -864";"640, -832";656.0000;-848.0000;16
26;District 1 Alpha;Curiosity;Deluxe;0980D;"-656, -880";"-672, -864";"-672, -896";"-640, -896";"-640, -864";-656.0000;-880.0000;15
27;District 1 Alpha;Curiosity;Deluxe;0978D;"-624, -880";"-640, -864";"-640, -896";"-608, -896";"-608, -864";-624.0000;-880.0000;15
28;District 1 Alpha;Curiosity;Deluxe;0979D;"-656, -848";"-672, -832";"-672, -864";"-640, -864";"-640, -832";-656.0000;-848.0000;15
29;District 1 Alpha;Curiosity;Deluxe;1016D;"1104, 1344";"1088, 1328";"1088, 1360";"1120, 1360";"1120, 1328";1104.0000;1344.0000;24
30;District 1 Alpha;Curiosity;Deluxe;1014D;"1136, 1344";"1120, 1328";"1120, 1360";"1152, 1360";"1152, 1328";1136.0000;1344.0000;24
31;District 1 Alpha;Curiosity;Deluxe;1015D;"1104, 1312";"1088, 1296";"1088, 1328";"1120, 1328";"1120, 1296";1104.0000;1312.0000;24
32;District 1 Alpha;Curiosity;Deluxe;1013D;"1136, 1312";"1120, 1296";"1120, 1328";"1152, 1328";"1152, 1296";1136.0000;1312.0000;24
33;District 1 Alpha;Curiosity;Deluxe;1021D;"2416, -576";"2400, -560";"2400, -592";"2432, -592";"2432, -560";2416.0000;-576.0000;26
34;District 1 Alpha;Curiosity;Deluxe;1022D;"2416, -608";"2400, -592";"2400, -624";"2432, -624";"2432, -592";2416.0000;-608.0000;26
35;District 1 Alpha;Curiosity;Deluxe;1023D;"2384, -576";"2368, -560";"2368, -592";"2400, -592";"2400, -560";2384.0000;-576.0000;26
36;District 1 Alpha;Curiosity;Deluxe;1024D;"2384, -608";"2368, -592";"2368, -624";"2400, -624";"2400, -592";2384.0000;-608.0000;26
37;District 1 Alpha;Curiosity;Deluxe;1020D;"2208, -482";"2192, -466";"2192, -498";"2224, -498";"2224, -466";2208.0000;-482.0000;25
38;District 1 Alpha;Curiosity;Deluxe;1019D;"2208, -450";"2192, -434";"2192, -466";"2224, -466";"2224, -434";2208.0000;-450.0000;25
39;District 1 Alpha;Curiosity;Deluxe;1017D;"2240, -450";"2224, -434";"2224, -466";"2256, -466";"2256, -434";2240.0000;-450.0000;25
40;District 1 Alpha;Curiosity;Deluxe;1018D;"2240, -482";"2224, -466";"2224, -498";"2256, -498";"2256, -466";2240.0000;-482.0000;25
41;District 1 Alpha;Curiosity;Deluxe;1004D;"-400, 2544";"-384, 2528";"-384, 2560";"-416, 2560";"-416, 2528";-400.0000;2544.0000;21
42;District 1 Alpha;Curiosity;Deluxe;1003D;"-400, 2512";"-384, 2496";"-384, 2528";"-416, 2528";"-416, 2496";-400.0000;2512.0000;21
43;District 1 Alpha;Curiosity;Deluxe;1001D;"-432, 2512";"-416, 2496";"-416, 2528";"-448, 2528";"-448, 2496";-432.0000;2512.0000;21
44;District 1 Alpha;Curiosity;Deluxe;1002D;"-432, 2544";"-416, 2528";"-416, 2560";"-448, 2560";"-448, 2528";-432.0000;2544.0000;21
45;District 1 Alpha;Curiosity;Deluxe;1005D;"-1136, 1312";"-1120, 1296";"-1120, 1328";"-1152, 1328";"-1152, 1296";-1136.0000;1312.0000;22
46;District 1 Alpha;Curiosity;Deluxe;1012D;"400, 2544";"384, 2528";"384, 2560";"416, 2560";"416, 2528";400.0000;2544.0000;23
47;District 1 Alpha;Curiosity;Deluxe;1010D;"432, 2544";"416, 2528";"416, 2560";"448, 2560";"448, 2528";432.0000;2544.0000;23
48;District 1 Alpha;Curiosity;Deluxe;1011D;"400, 2512";"384, 2496";"384, 2528";"416, 2528";"416, 2496";400.0000;2512.0000;23
49;District 1 Alpha;Curiosity;Deluxe;1008D;"-1104, 1344";"-1088, 1328";"-1088, 1360";"-1120, 1360";"-1120, 1328";-1104.0000;1344.0000;22
50;District 1 Alpha;Curiosity;Deluxe;1006D;"-1136, 1344";"-1120, 1328";"-1120, 1360";"-1152, 1360";"-1152, 1328";-1136.0000;1344.0000;22
51;District 1 Alpha;Curiosity;Deluxe;1007D;"-1104, 1312";"-1088, 1296";"-1088, 1328";"-1120, 1328";"-1120, 1296";-1104.0000;1312.0000;22
52;District 1 Alpha;Curiosity;Deluxe;1009D;"432, 2512";"416, 2496";"416, 2528";"448, 2528";"448, 2496";432.0000;2512.0000;23
53;District 1 Alpha;Curiosity;Deluxe;0940D;"-2208, 482";"-2192, 466";"-2192, 498";"-2224, 498";"-2224, 466";-2208.0000;482.0000;5
54;District 1 Alpha;Curiosity;Deluxe;0939D;"-2208, 450";"-2192, 434";"-2192, 466";"-2224, 466";"-2224, 434";-2208.0000;450.0000;5
55;District 1 Alpha;Curiosity;Deluxe;0937D;"-2240, 450";"-2224, 434";"-2224, 466";"-2256, 466";"-2256, 434";-2240.0000;450.0000;5
56;District 1 Alpha;Curiosity;Deluxe;0938D;"-2240, 482";"-2224, 466";"-2224, 498";"-2256, 498";"-2256, 466";-2240.0000;482.0000;5
57;District 1 Alpha;Curiosity;Deluxe;0942D;"-2416, 608";"-2400, 592";"-2400, 624";"-2432, 624";"-2432, 592";-2416.0000;608.0000;6
58;District 1 Alpha;Curiosity;Deluxe;0943D;"-2384, 576";"-2368, 560";"-2368, 592";"-2400, 592";"-2400, 560";-2384.0000;576.0000;6
59;District 1 Alpha;Curiosity;Deluxe;0941D;"-2416, 576";"-2400, 560";"-2400, 592";"-2432, 592";"-2432, 560";-2416.0000;576.0000;6
60;District 1 Alpha;Curiosity;Deluxe;0944D;"-2384, 608";"-2368, 592";"-2368, 624";"-2400, 624";"-2400, 592";-2384.0000;608.0000;6
61;District 1 Alpha;Curiosity;Deluxe;0947D;"-2208, -450";"-2192, -434";"-2192, -466";"-2224, -466";"-2224, -434";-2208.0000;-450.0000;7
62;District 1 Alpha;Curiosity;Deluxe;0948D;"-2208, -482";"-2192, -466";"-2192, -498";"-2224, -498";"-2224, -466";-2208.0000;-482.0000;7
63;District 1 Alpha;Curiosity;Deluxe;0946D;"-2240, -482";"-2224, -466";"-2224, -498";"-2256, -498";"-2256, -466";-2240.0000;-482.0000;7
64;District 1 Alpha;Curiosity;Deluxe;0945D;"-2240, -450";"-2224, -434";"-2224, -466";"-2256, -466";"-2256, -434";-2240.0000;-450.0000;7
65;District 1 Alpha;Curiosity;Deluxe;0949D;"-2416, -576";"-2400, -560";"-2400, -592";"-2432, -592";"-2432, -560";-2416.0000;-576.0000;8
66;District 1 Alpha;Curiosity;Deluxe;0950D;"-2416, -608";"-2400, -592";"-2400, -624";"-2432, -624";"-2432, -592";-2416.0000;-608.0000;8
67;District 1 Alpha;Curiosity;Deluxe;0924D;"2208, 482";"2192, 466";"2192, 498";"2224, 498";"2224, 466";2208.0000;482.0000;1
68;District 1 Alpha;Curiosity;Deluxe;0925D;"2416, 576";"2400, 560";"2400, 592";"2432, 592";"2432, 560";2416.0000;576.0000;2
69;District 1 Alpha;Curiosity;Deluxe;0928D;"2384, 608";"2368, 592";"2368, 624";"2400, 624";"2400, 592";2384.0000;608.0000;2
70;District 1 Alpha;Curiosity;Deluxe;0926D;"2416, 608";"2400, 592";"2400, 624";"2432, 624";"2432, 592";2416.0000;608.0000;2
71;District 1 Alpha;Curiosity;Deluxe;0927D;"2384, 576";"2368, 560";"2368, 592";"2400, 592";"2400, 560";2384.0000;576.0000;2
72;District 1 Alpha;Curiosity;Deluxe;0922D;"2240, 482";"2224, 466";"2224, 498";"2256, 498";"2256, 466";2240.0000;482.0000;1
73;District 1 Alpha;Curiosity;Deluxe;0923D;"2208, 450";"2192, 434";"2192, 466";"2224, 466";"2224, 434";2208.0000;450.0000;1
74;District 1 Alpha;Curiosity;Deluxe;0921D;"2240, 450";"2224, 434";"2224, 466";"2256, 466";"2256, 434";2240.0000;450.0000;1
75;District 1 Alpha;Curiosity;Deluxe;0931D;"-1936, 122";"-1952, 106";"-1952, 138";"-1920, 138";"-1920, 106";-1936.0000;122.0000;3
76;District 1 Alpha;Curiosity;Deluxe;0932D;"-1936, 154";"-1952, 138";"-1952, 170";"-1920, 170";"-1920, 138";-1936.0000;154.0000;3
77;District 1 Alpha;Curiosity;Deluxe;0936D;"-1936, -154";"-1952, -138";"-1952, -170";"-1920, -170";"-1920, -138";-1936.0000;-154.0000;4
78;District 1 Alpha;Curiosity;Deluxe;0935D;"-1936, -122";"-1952, -106";"-1952, -138";"-1920, -138";"-1920, -106";-1936.0000;-122.0000;4
79;District 1 Alpha;Curiosity;Deluxe;0933D;"-1904, -122";"-1920, -106";"-1920, -138";"-1888, -138";"-1888, -106";-1904.0000;-122.0000;4
80;District 1 Alpha;Curiosity;Deluxe;0934D;"-1904, -154";"-1920, -138";"-1920, -170";"-1888, -170";"-1888, -138";-1904.0000;-154.0000;4
81;District 1 Alpha;Curiosity;Deluxe;0929D;"-1904, 122";"-1920, 106";"-1920, 138";"-1888, 138";"-1888, 106";-1904.0000;122.0000;3
82;District 1 Alpha;Curiosity;Deluxe;0930D;"-1904, 154";"-1920, 138";"-1920, 170";"-1888, 170";"-1888, 138";-1904.0000;154.0000;3
83;District 1 Alpha;Curiosity;Deluxe;0951D;"-2384, -576";"-2368, -560";"-2368, -592";"-2400, -592";"-2400, -560";-2384.0000;-576.0000;8
84;District 1 Alpha;Curiosity;Deluxe;0965D;"1136, -1312";"1120, -1296";"1120, -1328";"1152, -1328";"1152, -1296";1136.0000;-1312.0000;12
85;District 1 Alpha;Curiosity;Deluxe;0966D;"1136, -1344";"1120, -1328";"1120, -1360";"1152, -1360";"1152, -1328";1136.0000;-1344.0000;12
86;District 1 Alpha;Curiosity;Deluxe;0967D;"1104, -1312";"1088, -1296";"1088, -1328";"1120, -1328";"1120, -1296";1104.0000;-1312.0000;12
87;District 1 Alpha;Curiosity;Deluxe;0968D;"1104, -1344";"1088, -1328";"1088, -1360";"1120, -1360";"1120, -1328";1104.0000;-1344.0000;12
88;District 1 Alpha;Curiosity;Deluxe;0972D;"-656, 880";"-672, 864";"-672, 896";"-640, 896";"-640, 864";-656.0000;880.0000;13
89;District 1 Alpha;Curiosity;Deluxe;0971D;"-656, 848";"-672, 832";"-672, 864";"-640, 864";"-640, 832";-656.0000;848.0000;13
90;District 1 Alpha;Curiosity;Deluxe;0969D;"-624, 848";"-640, 832";"-640, 864";"-608, 864";"-608, 832";-624.0000;848.0000;13
91;District 1 Alpha;Curiosity;Deluxe;0970D;"-624, 880";"-640, 864";"-640, 896";"-608, 896";"-608, 864";-624.0000;880.0000;13
92;District 1 Alpha;Curiosity;Deluxe;0952D;"-2384, -608";"-2368, -592";"-2368, -624";"-2400, -624";"-2400, -592";-2384.0000;-608.0000;8
93;District 1 Alpha;Curiosity;Deluxe;0953D;"-432, -2512";"-416, -2496";"-416, -2528";"-448, -2528";"-448, -2496";-432.0000;-2512.0000;9
94;District 1 Alpha;Curiosity;Deluxe;0956D;"-400, -2544";"-384, -2528";"-384, -2560";"-416, -2560";"-416, -2528";-400.0000;-2544.0000;9
95;District 1 Alpha;Curiosity;Deluxe;0954D;"-432, -2544";"-416, -2528";"-416, -2560";"-448, -2560";"-448, -2528";-432.0000;-2544.0000;9
96;District 1 Alpha;Curiosity;Deluxe;0955D;"-400, -2512";"-384, -2496";"-384, -2528";"-416, -2528";"-416, -2496";-400.0000;-2512.0000;9
97;District 1 Alpha;Curiosity;Deluxe;0961D;"432, -2512";"416, -2496";"416, -2528";"448, -2528";"448, -2496";432.0000;-2512.0000;11
98;District 1 Alpha;Curiosity;Deluxe;0962D;"432, -2544";"416, -2528";"416, -2560";"448, -2560";"448, -2528";432.0000;-2544.0000;11
99;District 1 Alpha;Curiosity;Deluxe;0963D;"400, -2512";"384, -2496";"384, -2528";"416, -2528";"416, -2496";400.0000;-2512.0000;11
100;District 1 Alpha;Curiosity;Deluxe;0964D;"400, -2544";"384, -2528";"384, -2560";"416, -2560";"416, -2528";400.0000;-2544.0000;11
101;District 1 Alpha;Curiosity;Deluxe;0957D;"-1136, -1312";"-1120, -1296";"-1120, -1328";"-1152, -1328";"-1152, -1296";-1136.0000;-1312.0000;10
102;District 1 Alpha;Curiosity;Deluxe;0958D;"-1136, -1344";"-1120, -1328";"-1120, -1360";"-1152, -1360";"-1152, -1328";-1136.0000;-1344.0000;10
103;District 1 Alpha;Curiosity;Deluxe;0959D;"-1104, -1312";"-1088, -1296";"-1088, -1328";"-1120, -1328";"-1120, -1296";-1104.0000;-1312.0000;10
104;District 1 Alpha;Curiosity;Deluxe;0960D;"-1104, -1344";"-1088, -1328";"-1088, -1360";"-1120, -1360";"-1120, -1328";-1104.0000;-1344.0000;10
363;District 2 Beta;Play;Deluxe;1025D;"4592, -6736";"4576, -6720";"4576, -6752";"4608, -6752";"4608, -6720";4592.0000;-6736.0000;27
364;District 2 Beta;Play;Deluxe;1026D;"4592, -6768";"4576, -6752";"4576, -6784";"4608, -6784";"4608, -6752";4592.0000;-6768.0000;27
365;District 2 Beta;Play;Deluxe;1027D;"4560, -6736";"4544, -6720";"4544, -6752";"4576, -6752";"4576, -6720";4560.0000;-6736.0000;27
366;District 2 Beta;Play;Deluxe;1028D;"4560, -6768";"4544, -6752";"4544, -6784";"4576, -6784";"4576, -6752";4560.0000;-6768.0000;27
367;District 2 Beta;Play;Deluxe;1029D;"5120, -5440";"5104, -5424";"5104, -5456";"5136, -5456";"5136, -5424";5120.0000;-5440.0000;28
368;District 2 Beta;Play;Deluxe;1030D;"5120, -5472";"5104, -5456";"5104, -5488";"5136, -5488";"5136, -5456";5120.0000;-5472.0000;28
369;District 2 Beta;Play;Deluxe;1031D;"5088, -5440";"5072, -5424";"5072, -5456";"5104, -5456";"5104, -5424";5088.0000;-5440.0000;28
370;District 2 Beta;Play;Deluxe;1032D;"5088, -5472";"5072, -5456";"5072, -5488";"5104, -5488";"5104, -5456";5088.0000;-5472.0000;28
371;District 2 Beta;Play;Deluxe;1033D;"4416, -6608";"4400, -6592";"4400, -6624";"4432, -6624";"4432, -6592";4416.0000;-6608.0000;29
372;District 2 Beta;Play;Deluxe;1034D;"4416, -6640";"4400, -6624";"4400, -6656";"4432, -6656";"4432, -6624";4416.0000;-6640.0000;29
373;District 2 Beta;Play;Deluxe;1035D;"4384, -6608";"4368, -6592";"4368, -6624";"4400, -6624";"4400, -6592";4384.0000;-6608.0000;29
374;District 2 Beta;Play;Deluxe;1036D;"4384, -6640";"4368, -6624";"4368, -6656";"4400, -6656";"4400, -6624";4384.0000;-6640.0000;29
375;District 2 Beta;Play;Deluxe;1037D;"5296, -5536";"5280, -5520";"5280, -5552";"5312, -5552";"5312, -5520";5296.0000;-5536.0000;30
376;District 2 Beta;Play;Deluxe;1038D;"5296, -5568";"5280, -5552";"5280, -5584";"5312, -5584";"5312, -5552";5296.0000;-5568.0000;30
377;District 2 Beta;Play;Deluxe;1039D;"5264, -5536";"5248, -5520";"5248, -5552";"5280, -5552";"5280, -5520";5264.0000;-5536.0000;30
378;District 2 Beta;Play;Deluxe;1040D;"5264, -5568";"5248, -5552";"5248, -5584";"5280, -5584";"5280, -5552";5264.0000;-5568.0000;30
379;District 2 Beta;Play;Deluxe;1041D;"640, -4510";"656, -4526";"656, -4494";"624, -4494";"624, -4526";640.0000;-4510.0000;31
380;District 2 Beta;Play;Deluxe;1042D;"640, -4478";"656, -4494";"656, -4462";"624, -4462";"624, -4494";640.0000;-4478.0000;31
381;District 2 Beta;Play;Deluxe;1043D;"672, -4510";"688, -4526";"688, -4494";"656, -4494";"656, -4526";672.0000;-4510.0000;31
382;District 2 Beta;Play;Deluxe;1044D;"672, -4478";"688, -4494";"688, -4462";"656, -4462";"656, -4494";672.0000;-4478.0000;31
383;District 2 Beta;Play;Deluxe;1045D;"464, -4384";"480, -4400";"480, -4368";"448, -4368";"448, -4400";464.0000;-4384.0000;32
384;District 2 Beta;Play;Deluxe;1046D;"464, -4352";"480, -4368";"480, -4336";"448, -4336";"448, -4368";464.0000;-4352.0000;32
385;District 2 Beta;Play;Deluxe;1047D;"496, -4384";"512, -4400";"512, -4368";"480, -4368";"480, -4400";496.0000;-4384.0000;32
386;District 2 Beta;Play;Deluxe;1048D;"496, -4352";"512, -4368";"512, -4336";"480, -4336";"480, -4368";496.0000;-4352.0000;32
387;District 2 Beta;Play;Deluxe;1049D;"1168, -3184";"1184, -3200";"1184, -3168";"1152, -3168";"1152, -3200";1168.0000;-3184.0000;33
388;District 2 Beta;Play;Deluxe;1050D;"1168, -3152";"1184, -3168";"1184, -3136";"1152, -3136";"1152, -3168";1168.0000;-3152.0000;33
389;District 2 Beta;Play;Deluxe;1051D;"1200, -3184";"1216, -3200";"1216, -3168";"1184, -3168";"1184, -3200";1200.0000;-3184.0000;33
390;District 2 Beta;Play;Deluxe;1052D;"1200, -3152";"1216, -3168";"1216, -3136";"1184, -3136";"1184, -3168";1200.0000;-3152.0000;33
391;District 2 Beta;Play;Deluxe;1053D;"1344, -3312";"1360, -3328";"1360, -3296";"1328, -3296";"1328, -3328";1344.0000;-3312.0000;34
392;District 2 Beta;Play;Deluxe;1054D;"1344, -3280";"1360, -3296";"1360, -3264";"1328, -3264";"1328, -3296";1344.0000;-3280.0000;34
393;District 2 Beta;Play;Deluxe;1055D;"1376, -3312";"1392, -3328";"1392, -3296";"1360, -3296";"1360, -3328";1376.0000;-3312.0000;34
394;District 2 Beta;Play;Deluxe;1056D;"1376, -3280";"1392, -3296";"1392, -3264";"1360, -3264";"1360, -3296";1376.0000;-3280.0000;34
395;District 2 Beta;Play;Deluxe;1057D;"976, -4838";"960, -4854";"960, -4822";"992, -4822";"992, -4854";976.0000;-4838.0000;35
396;District 2 Beta;Play;Deluxe;1058D;"976, -4806";"960, -4822";"960, -4790";"992, -4790";"992, -4822";976.0000;-4806.0000;35
397;District 2 Beta;Play;Deluxe;1059D;"944, -4838";"928, -4854";"928, -4822";"960, -4822";"960, -4854";944.0000;-4838.0000;35
398;District 2 Beta;Play;Deluxe;1060D;"944, -4806";"928, -4822";"928, -4790";"960, -4790";"960, -4822";944.0000;-4806.0000;35
399;District 2 Beta;Play;Deluxe;1061D;"976, -5082";"960, -5066";"960, -5098";"992, -5098";"992, -5066";976.0000;-5082.0000;36
400;District 2 Beta;Play;Deluxe;1062D;"976, -5114";"960, -5098";"960, -5130";"992, -5130";"992, -5098";976.0000;-5114.0000;36
401;District 2 Beta;Play;Deluxe;1063D;"944, -5082";"928, -5066";"928, -5098";"960, -5098";"960, -5066";944.0000;-5082.0000;36
402;District 2 Beta;Play;Deluxe;1064D;"944, -5114";"928, -5098";"928, -5130";"960, -5130";"960, -5098";944.0000;-5114.0000;36
403;District 2 Beta;Play;Deluxe;1065D;"3840, -6136";"3824, -6120";"3824, -6152";"3856, -6152";"3856, -6120";3840.0000;-6136.0000;37
404;District 2 Beta;Play;Deluxe;1066D;"3840, -6168";"3824, -6152";"3824, -6184";"3856, -6184";"3856, -6152";3840.0000;-6168.0000;37
405;District 2 Beta;Play;Deluxe;1067D;"3808, -6136";"3792, -6120";"3792, -6152";"3824, -6152";"3824, -6120";3808.0000;-6136.0000;37
406;District 2 Beta;Play;Deluxe;1068D;"3808, -6168";"3792, -6152";"3792, -6184";"3824, -6184";"3824, -6152";3808.0000;-6168.0000;37
407;District 2 Beta;Play;Deluxe;1069D;"4016, -6272";"4000, -6256";"4000, -6288";"4032, -6288";"4032, -6256";4016.0000;-6272.0000;38
408;District 2 Beta;Play;Deluxe;1070D;"4016, -6304";"4000, -6288";"4000, -6320";"4032, -6320";"4032, -6288";4016.0000;-6304.0000;38
409;District 2 Beta;Play;Deluxe;1071D;"3984, -6272";"3968, -6256";"3968, -6288";"4000, -6288";"4000, -6256";3984.0000;-6272.0000;38
410;District 2 Beta;Play;Deluxe;1072D;"3984, -6304";"3968, -6288";"3968, -6320";"4000, -6320";"4000, -6288";3984.0000;-6304.0000;38
411;District 2 Beta;Play;Deluxe;1073D;"2256, -4112";"2240, -4128";"2240, -4096";"2272, -4096";"2272, -4128";2256.0000;-4112.0000;39
412;District 2 Beta;Play;Deluxe;1074D;"2256, -4080";"2240, -4096";"2240, -4064";"2272, -4064";"2272, -4096";2256.0000;-4080.0000;39
413;District 2 Beta;Play;Deluxe;1075D;"2224, -4112";"2208, -4128";"2208, -4096";"2240, -4096";"2240, -4128";2224.0000;-4112.0000;39
414;District 2 Beta;Play;Deluxe;1076D;"2224, -4080";"2208, -4096";"2208, -4064";"2240, -4064";"2240, -4096";2224.0000;-4080.0000;39
415;District 2 Beta;Play;Deluxe;1077D;"3504, -4112";"3520, -4128";"3520, -4096";"3488, -4096";"3488, -4128";3504.0000;-4112.0000;40
416;District 2 Beta;Play;Deluxe;1078D;"3504, -4080";"3520, -4096";"3520, -4064";"3488, -4064";"3488, -4096";3504.0000;-4080.0000;40
417;District 2 Beta;Play;Deluxe;1079D;"3536, -4112";"3552, -4128";"3552, -4096";"3520, -4096";"3520, -4128";3536.0000;-4112.0000;40
418;District 2 Beta;Play;Deluxe;1080D;"3536, -4080";"3552, -4096";"3552, -4064";"3520, -4064";"3520, -4096";3536.0000;-4080.0000;40
419;District 2 Beta;Play;Deluxe;1081D;"2256, -5808";"2240, -5792";"2240, -5824";"2272, -5824";"2272, -5792";2256.0000;-5808.0000;41
420;District 2 Beta;Play;Deluxe;1082D;"2256, -5840";"2240, -5824";"2240, -5856";"2272, -5856";"2272, -5824";2256.0000;-5840.0000;41
421;District 2 Beta;Play;Deluxe;1083D;"2224, -5808";"2208, -5792";"2208, -5824";"2240, -5824";"2240, -5792";2224.0000;-5808.0000;41
422;District 2 Beta;Play;Deluxe;1084D;"2224, -5840";"2208, -5824";"2208, -5856";"2240, -5856";"2240, -5824";2224.0000;-5840.0000;41
423;District 2 Beta;Play;Deluxe;1085D;"3504, -5808";"3520, -5792";"3520, -5824";"3488, -5824";"3488, -5792";3504.0000;-5808.0000;42
424;District 2 Beta;Play;Deluxe;1086D;"3504, -5840";"3520, -5824";"3520, -5856";"3488, -5856";"3488, -5824";3504.0000;-5840.0000;42
425;District 2 Beta;Play;Deluxe;1087D;"3536, -5808";"3552, -5792";"3552, -5824";"3520, -5824";"3520, -5792";3536.0000;-5808.0000;42
426;District 2 Beta;Play;Deluxe;1088D;"3536, -5840";"3552, -5824";"3552, -5856";"3520, -5856";"3520, -5824";3536.0000;-5840.0000;42
427;District 2 Beta;Play;Deluxe;1089D;"2448, -2448";"2464, -2464";"2464, -2432";"2432, -2432";"2432, -2464";2448.0000;-2448.0000;43
428;District 2 Beta;Play;Deluxe;1090D;"2448, -2416";"2464, -2432";"2464, -2400";"2432, -2400";"2432, -2432";2448.0000;-2416.0000;43
429;District 2 Beta;Play;Deluxe;1091D;"2480, -2448";"2496, -2464";"2496, -2432";"2464, -2432";"2464, -2464";2480.0000;-2448.0000;43
430;District 2 Beta;Play;Deluxe;1092D;"2480, -2416";"2496, -2432";"2496, -2400";"2464, -2400";"2464, -2432";2480.0000;-2416.0000;43
431;District 2 Beta;Play;Deluxe;1093D;"1744, -3648";"1760, -3664";"1760, -3632";"1728, -3632";"1728, -3664";1744.0000;-3648.0000;44
432;District 2 Beta;Play;Deluxe;1094D;"1744, -3616";"1760, -3632";"1760, -3600";"1728, -3600";"1728, -3632";1744.0000;-3616.0000;44
433;District 2 Beta;Play;Deluxe;1095D;"1776, -3648";"1792, -3664";"1792, -3632";"1760, -3632";"1760, -3664";1776.0000;-3648.0000;44
434;District 2 Beta;Play;Deluxe;1096D;"1776, -3616";"1792, -3632";"1792, -3600";"1760, -3600";"1760, -3632";1776.0000;-3616.0000;44
435;District 2 Beta;Play;Deluxe;1097D;"3312, -2448";"3296, -2464";"3296, -2432";"3328, -2432";"3328, -2464";3312.0000;-2448.0000;45
