Count,File Name,Type,District,ID,_1_XY,_2_XY,_3_XY,_4_XY,Position X,Position Y
1,District 1 Alpha,Deluxe,?,"-1136, -1312","-1120, -1296","-1120, -1328","-1152, -1328","-1152, -1296",-1136.0000,-1312.0000
1,District 1 Alpha,Deluxe,?,"1136, 1344","1120, 1328","1120, 1360","1152, 1360","1152, 1328",1136.0000,1344.0000
1,District 1 Alpha,Deluxe,?,"1136, -1344","1120, -1328","1120, -1360","1152, -1360","1152, -1328",1136.0000,-1344.0000
1,District 1 Alpha,Deluxe,?,"-1136, 1344","-1120, 1328","-1120, 1360","-1152, 1360","-1152, 1328",-1136.0000,1344.0000
1,District 1 Alpha,Deluxe,?,"-1136, -1344","-1120, -1328","-1120, -1360","-1152, -1360","-1152, -1328",-1136.0000,-1344.0000
1,District 1 Alpha,Deluxe,?,"1136, 16","1120, 32","1120, 0","1152, 0","1152, 32",1136.0000,16.0000
1,District 1 Alpha,Deluxe,?,"1136, -16","1120, 0","1120, -32","1152, -32","1152, 0",1136.0000,-16.0000
1,District 1 Alpha,Deluxe,?,"-1136, 16","-1120, 32","-1120, 0","-1152, 0","-1152, 32",-1136.0000,16.0000
1,District 1 Alpha,Deluxe,?,"-1136, -16","-1120, 0","-1120, -32","-1152, -32","-1152, 0",-1136.0000,-16.0000
1,District 1 Alpha,Deluxe,?,"1904, 122","1920, 106","1920, 138","1888, 138","1888, 106",1904.0000,122.0000
1,District 1 Alpha,Deluxe,?,"1904, -122","1920, -106","1920, -138","1888, -138","1888, -106",1904.0000,-122.0000
1,District 1 Alpha,Deluxe,?,"-1904, 122","-1920, 106","-1920, 138","-1888, 138","-1888, 106",-1904.0000,122.0000
1,District 1 Alpha,Deluxe,?,"-1904, -122","-1920, -106","-1920, -138","-1888, -138","-1888, -106",-1904.0000,-122.0000
1,District 1 Alpha,Deluxe,?,"1904, 154","1920, 138","1920, 170","1888, 170","1888, 138",1904.0000,154.0000
1,District 1 Alpha,Deluxe,?,"1904, -154","1920, -138","1920, -170","1888, -170","1888, -138",1904.0000,-154.0000
1,District 1 Alpha,Deluxe,?,"-1904, 154","-1920, 138","-1920, 170","-1888, 170","-1888, 138",-1904.0000,154.0000
1,District 1 Alpha,Deluxe,?,"-1904, -154","-1920, -138","-1920, -170","-1888, -170","-1888, -138",-1904.0000,-154.0000
1,District 1 Alpha,Deluxe,?,"1936, 122","1952, 106","1952, 138","1920, 138","1920, 106",1936.0000,122.0000
1,District 1 Alpha,Deluxe,?,"1936, -122","1952, -106","1952, -138","1920, -138","1920, -106",1936.0000,-122.0000
1,District 1 Alpha,Deluxe,?,"-1936, 122","-1952, 106","-1952, 138","-1920, 138","-1920, 106",-1936.0000,122.0000
1,District 1 Alpha,Deluxe,?,"-1936, -122","-1952, -106","-1952, -138","-1920, -138","-1920, -106",-1936.0000,-122.0000
1,District 1 Alpha,Deluxe,?,"1936, 154","1952, 138","1952, 170","1920, 170","1920, 138",1936.0000,154.0000
1,District 1 Alpha,Deluxe,?,"1936, -154","1952, -138","1952, -170","1920, -170","1920, -138",1936.0000,-154.0000
1,District 1 Alpha,Deluxe,?,"-1936, 154","-1952, 138","-1952, 170","-1920, 170","-1920, 138",-1936.0000,154.0000
1,District 1 Alpha,Deluxe,?,"-1936, -154","-1952, -138","-1952, -170","-1920, -170","-1920, -138",-1936.0000,-154.0000
1,District 1 Alpha,Deluxe,?,"2208, 450","2192, 434","2192, 466","2224, 466","2224, 434",2208.0000,450.0000
1,District 1 Alpha,Deluxe,?,"2208, -450","2192, -434","2192, -466","2224, -466","2224, -434",2208.0000,-450.0000
1,District 1 Alpha,Deluxe,?,"-2208, 450","-2192, 434","-2192, 466","-2224, 466","-2224, 434",-2208.0000,450.0000
1,District 1 Alpha,Deluxe,?,"-2208, -450","-2192, -434","-2192, -466","-2224, -466","-2224, -434",-2208.0000,-450.0000
1,District 1 Alpha,Deluxe,?,"2208, 482","2192, 466","2192, 498","2224, 498","2224, 466",2208.0000,482.0000
1,District 1 Alpha,Deluxe,?,"2208, -482","2192, -466","2192, -498","2224, -498","2224, -466",2208.0000,-482.0000
1,District 1 Alpha,Deluxe,?,"-2208, 482","-2192, 466","-2192, 498","-2224, 498","-2224, 466",-2208.0000,482.0000
1,District 1 Alpha,Deluxe,?,"-2208, -482","-2192, -466","-2192, -498","-2224, -498","-2224, -466",-2208.0000,-482.0000
1,District 1 Alpha,Deluxe,?,"2240, 450","2224, 434","2224, 466","2256, 466","2256, 434",2240.0000,450.0000
1,District 1 Alpha,Deluxe,?,"2240, -450","2224, -434","2224, -466","2256, -466","2256, -434",2240.0000,-450.0000
1,District 1 Alpha,Deluxe,?,"-2240, 450","-2224, 434","-2224, 466","-2256, 466","-2256, 434",-2240.0000,450.0000
1,District 1 Alpha,Deluxe,?,"-2240, -450","-2224, -434","-2224, -466","-2256, -466","-2256, -434",-2240.0000,-450.0000
1,District 1 Alpha,Deluxe,?,"2240, 482","2224, 466","2224, 498","2256, 498","2256, 466",2240.0000,482.0000
1,District 1 Alpha,Deluxe,?,"2240, -482","2224, -466","2224, -498","2256, -498","2256, -466",2240.0000,-482.0000
1,District 1 Alpha,Deluxe,?,"-2240, 482","-2224, 466","-2224, 498","-2256, 498","-2256, 466",-2240.0000,482.0000
1,District 1 Alpha,Deluxe,?,"-2240, -482","-2224, -466","-2224, -498","-2256, -498","-2256, -466",-2240.0000,-482.0000
1,District 1 Alpha,Deluxe,?,"2384, 576","2368, 560","2368, 592","2400, 592","2400, 560",2384.0000,576.0000
1,District 1 Alpha,Deluxe,?,"2384, -576","2368, -560","2368, -592","2400, -592","2400, -560",2384.0000,-576.0000
1,District 1 Alpha,Deluxe,?,"-2384, 576","-2368, 560","-2368, 592","-2400, 592","-2400, 560",-2384.0000,576.0000
1,District 1 Alpha,Deluxe,?,"-2384, -576","-2368, -560","-2368, -592","-2400, -592","-2400, -560",-2384.0000,-576.0000
1,District 1 Alpha,Deluxe,?,"2384, 608","2368, 592","2368, 624","2400, 624","2400, 592",2384.0000,608.0000
1,District 1 Alpha,Deluxe,?,"2384, -608","2368, -592","2368, -624","2400, -624","2400, -592",2384.0000,-608.0000
1,District 1 Alpha,Deluxe,?,"-2384, 608","-2368, 592","-2368, 624","-2400, 624","-2400, 592",-2384.0000,608.0000
1,District 1 Alpha,Deluxe,?,"-2384, -608","-2368, -592","-2368, -624","-2400, -624","-2400, -592",-2384.0000,-608.0000
1,District 1 Alpha,Deluxe,?,"2416, 576","2400, 560","2400, 592","2432, 592","2432, 560",2416.0000,576.0000
1,District 1 Alpha,Deluxe,?,"2416, -576","2400, -560","2400, -592","2432, -592","2432, -560",2416.0000,-576.0000
1,District 1 Alpha,Deluxe,?,"-2416, 576","-2400, 560","-2400, 592","-2432, 592","-2432, 560",-2416.0000,576.0000
1,District 1 Alpha,Deluxe,?,"-2416, -576","-2400, -560","-2400, -592","-2432, -592","-2432, -560",-2416.0000,-576.0000
1,District 1 Alpha,Deluxe,?,"2416, 608","2400, 592","2400, 624","2432, 624","2432, 592",2416.0000,608.0000
1,District 1 Alpha,Deluxe,?,"2416, -608","2400, -592","2400, -624","2432, -624","2432, -592",2416.0000,-608.0000
1,District 1 Alpha,Deluxe,?,"-2416, 608","-2400, 592","-2400, 624","-2432, 624","-2432, 592",-2416.0000,608.0000
1,District 1 Alpha,Deluxe,?,"-2416, -608","-2400, -592","-2400, -624","-2432, -624","-2432, -592",-2416.0000,-608.0000
1,District 1 Alpha,Deluxe,?,"400, 2512","384, 2496","384, 2528","416, 2528","416, 2496",400.0000,2512.0000
1,District 1 Alpha,Deluxe,?,"400, -2512","384, -2496","384, -2528","416, -2528","416, -2496",400.0000,-2512.0000
1,District 1 Alpha,Deluxe,?,"-400, 2512","-384, 2496","-384, 2528","-416, 2528","-416, 2496",-400.0000,2512.0000
1,District 1 Alpha,Deluxe,?,"-400, -2512","-384, -2496","-384, -2528","-416, -2528","-416, -2496",-400.0000,-2512.0000
1,District 1 Alpha,Deluxe,?,"400, 2544","384, 2528","384, 2560","416, 2560","416, 2528",400.0000,2544.0000
1,District 1 Alpha,Deluxe,?,"400, -2544","384, -2528","384, -2560","416, -2560","416, -2528",400.0000,-2544.0000
1,District 1 Alpha,Deluxe,?,"-400, 2544","-384, 2528","-384, 2560","-416, 2560","-416, 2528",-400.0000,2544.0000
1,District 1 Alpha,Deluxe,?,"-400, -2544","-384, -2528","-384, -2560","-416, -2560","-416, -2528",-400.0000,-2544.0000
1,District 1 Alpha,Deluxe,?,"432, 2512","416, 2496","416, 2528","448, 2528","448, 2496",432.0000,2512.0000
1,District 1 Alpha,Deluxe,?,"432, -2512","416, -2496","416, -2528","448, -2528","448, -2496",432.0000,-2512.0000
1,District 1 Alpha,Deluxe,?,"-432, 2512","-416, 2496","-416, 2528","-448, 2528","-448, 2496",-432.0000,2512.0000
1,District 1 Alpha,Deluxe,?,"-432, -2512","-416, -2496","-416, -2528","-448, -2528","-448, -2496",-432.0000,-2512.0000
1,District 1 Alpha,Deluxe,?,"432, 2544","416, 2528","416, 2560","448, 2560","448, 2528",432.0000,2544.0000
1,District 1 Alpha,Deluxe,?,"432, -2544","416, -2528","416, -2560","448, -2560","448, -2528",432.0000,-2544.0000
1,District 1 Alpha,Deluxe,?,"-432, 2544","-416, 2528","-416, 2560","-448, 2560","-448, 2528",-432.0000,2544.0000
1,District 1 Alpha,Deluxe,?,"-432, -2544","-416, -2528","-416, -2560","-448, -2560","-448, -2528",-432.0000,-2544.0000
1,District 1 Alpha,Deluxe,?,"624, 848","640, 832","640, 864","608, 864","608, 832",624.0000,848.0000
1,District 1 Alpha,Deluxe,?,"624, -848","640, -832","640, -864","608, -864","608, -832",624.0000,-848.0000
1,District 1 Alpha,Deluxe,?,"-624, 848","-640, 832","-640, 864","-608, 864","-608, 832",-624.0000,848.0000
1,District 1 Alpha,Deluxe,?,"-624, -848","-640, -832","-640, -864","-608, -864","-608, -832",-624.0000,-848.0000
1,District 1 Alpha,Deluxe,?,"624, 880","640, 864","640, 896","608, 896","608, 864",624.0000,880.0000
1,District 1 Alpha,Deluxe,?,"624, -880","640, -864","640, -896","608, -896","608, -864",624.0000,-880.0000
1,District 1 Alpha,Deluxe,?,"-624, 880","-640, 864","-640, 896","-608, 896","-608, 864",-624.0000,880.0000
1,District 1 Alpha,Deluxe,?,"-624, -880","-640, -864","-640, -896","-608, -896","-608, -864",-624.0000,-880.0000
1,District 1 Alpha,Deluxe,?,"656, 848","672, 832","672, 864","640, 864","640, 832",656.0000,848.0000
1,District 1 Alpha,Deluxe,?,"656, -848","672, -832","672, -864","640, -864","640, -832",656.0000,-848.0000
1,District 1 Alpha,Deluxe,?,"-656, 848","-672, 832","-672, 864","-640, 864","-640, 832",-656.0000,848.0000
1,District 1 Alpha,Deluxe,?,"-656, -848","-672, -832","-672, -864","-640, -864","-640, -832",-656.0000,-848.0000
1,District 1 Alpha,Deluxe,?,"656, 880","672, 864","672, 896","640, 896","640, 864",656.0000,880.0000
1,District 1 Alpha,Deluxe,?,"656, -880","672, -864","672, -896","640, -896","640, -864",656.0000,-880.0000
1,District 1 Alpha,Deluxe,?,"-656, 880","-672, 864","-672, 896","-640, 896","-640, 864",-656.0000,880.0000
1,District 1 Alpha,Deluxe,?,"-656, -880","-672, -864","-672, -896","-640, -896","-640, -864",-656.0000,-880.0000
1,District 2 Beta,Deluxe,?,"1168, -3152","1184, -3168","1184, -3136","1152, -3136","1152, -3168",1168.0000,-3152.0000
1,District 2 Beta,Deluxe,?,"1168, -3184","1184, -3200","1184, -3168","1152, -3168","1152, -3200",1168.0000,-3184.0000
1,District 2 Beta,Deluxe,?,"1200, -3152","1216, -3168","1216, -3136","1184, -3136","1184, -3168",1200.0000,-3152.0000
1,District 2 Beta,Deluxe,?,"1200, -3184","1216, -3200","1216, -3168","1184, -3168","1184, -3200",1200.0000,-3184.0000
1,District 2 Beta,Deluxe,?,"1344, -3280","1360, -3296","1360, -3264","1328, -3264","1328, -3296",1344.0000,-3280.0000
1,District 2 Beta,Deluxe,?,"1344, -3312","1360, -3328","1360, -3296","1328, -3296","1328, -3328",1344.0000,-3312.0000
1,District 2 Beta,Deluxe,?,"1376, -3280","1392, -3296","1392, -3264","1360, -3264","1360, -3296",1376.0000,-3280.0000
1,District 2 Beta,Deluxe,?,"1376, -3312","1392, -3328","1392, -3296","1360, -3296","1360, -3328",1376.0000,-3312.0000
1,District 2 Beta,Deluxe,?,"1744, -3616","1760, -3632","1760, -3600","1728, -3600","1728, -3632",1744.0000,-3616.0000
1,District 2 Beta,Deluxe,?,"1744, -3648","1760, -3664","1760, -3632","1728, -3632","1728, -3664",1744.0000,-3648.0000
1,District 2 Beta,Deluxe,?,"1744, -4944","1760, -4928","1760, -4960","1728, -4960","1728, -4928",1744.0000,-4944.0000
1,District 2 Beta,Deluxe,?,"1744, -4976","1760, -4960","1760, -4992","1728, -4992","1728, -4960",1744.0000,-4976.0000
1,District 2 Beta,Deluxe,?,"1776, -3616","1792, -3632","1792, -3600","1760, -3600","1760, -3632",1776.0000,-3616.0000
1,District 2 Beta,Deluxe,?,"1776, -3648","1792, -3664","1792, -3632","1760, -3632","1760, -3664",1776.0000,-3648.0000
1,District 2 Beta,Deluxe,?,"1776, -4944","1792, -4928","1792, -4960","1760, -4960","1760, -4928",1776.0000,-4944.0000
1,District 2 Beta,Deluxe,?,"1776, -4976","1792, -4960","1792, -4992","1760, -4992","1760, -4960",1776.0000,-4976.0000
1,District 2 Beta,Deluxe,?,"2224, -4080","2208, -4096","2208, -4064","2240, -4064","2240, -4096",2224.0000,-4080.0000
1,District 2 Beta,Deluxe,?,"2224, -4112","2208, -4128","2208, -4096","2240, -4096","2240, -4128",2224.0000,-4112.0000
1,District 2 Beta,Deluxe,?,"2224, -5808","2208, -5792","2208, -5824","2240, -5824","2240, -5792",2224.0000,-5808.0000
1,District 2 Beta,Deluxe,?,"2224, -5840","2208, -5824","2208, -5856","2240, -5856","2240, -5824",2224.0000,-5840.0000
1,District 2 Beta,Deluxe,?,"2256, -4080","2240, -4096","2240, -4064","2272, -4064","2272, -4096",2256.0000,-4080.0000
1,District 2 Beta,Deluxe,?,"2256, -4112","2240, -4128","2240, -4096","2272, -4096","2272, -4128",2256.0000,-4112.0000
1,District 2 Beta,Deluxe,?,"2256, -5808","2240, -5792","2240, -5824","2272, -5824","2272, -5792",2256.0000,-5808.0000
1,District 2 Beta,Deluxe,?,"2256, -5840","2240, -5824","2240, -5856","2272, -5856","2272, -5824",2256.0000,-5840.0000
1,District 2 Beta,Deluxe,?,"2448, -2416","2464, -2432","2464, -2400","2432, -2400","2432, -2432",2448.0000,-2416.0000
1,District 2 Beta,Deluxe,?,"2448, -2448","2464, -2464","2464, -2432","2432, -2432","2432, -2464",2448.0000,-2448.0000
1,District 2 Beta,Deluxe,?,"2480, -2416","2496, -2432","2496, -2400","2464, -2400","2464, -2432",2480.0000,-2416.0000
1,District 2 Beta,Deluxe,?,"2480, -2448","2496, -2464","2496, -2432","2464, -2432","2464, -2464",2480.0000,-2448.0000
1,District 2 Beta,Deluxe,?,"3280, -2416","3264, -2432","3264, -2400","3296, -2400","3296, -2432",3280.0000,-2416.0000
1,District 2 Beta,Deluxe,?,"3280, -2448","3264, -2464","3264, -2432","3296, -2432","3296, -2464",3280.0000,-2448.0000
1,District 2 Beta,Deluxe,?,"3312, -2416","3296, -2432","3296, -2400","3328, -2400","3328, -2432",3312.0000,-2416.0000
1,District 2 Beta,Deluxe,?,"3312, -2448","3296, -2464","3296, -2432","3328, -2432","3328, -2464",3312.0000,-2448.0000
1,District 2 Beta,Deluxe,?,"3504, -4080","3520, -4096","3520, -4064","3488, -4064","3488, -4096",3504.0000,-4080.0000
1,District 2 Beta,Deluxe,?,"3504, -4112","3520, -4128","3520, -4096","3488, -4096","3488, -4128",3504.0000,-4112.0000
1,District 2 Beta,Deluxe,?,"3504, -5808","3520, -5792","3520, -5824","3488, -5824","3488, -5792",3504.0000,-5808.0000
1,District 2 Beta,Deluxe,?,"3504, -5840","3520, -5824","3520, -5856","3488, -5856","3488, -5824",3504.0000,-5840.0000
1,District 2 Beta,Deluxe,?,"3536, -4080","3552, -4096","3552, -4064","3520, -4064","3520, -4096",3536.0000,-4080.0000
1,District 2 Beta,Deluxe,?,"3536, -4112","3552, -4128","3552, -4096","3520, -4096","3520, -4128",3536.0000,-4112.0000
1,District 2 Beta,Deluxe,?,"3536, -5808","3552, -5792","3552, -5824","3520, -5824","3520, -5792",3536.0000,-5808.0000
1,District 2 Beta,Deluxe,?,"3536, -5840","3552, -5824","3552, -5856","3520, -5856","3520, -5824",3536.0000,-5840.0000
1,District 2 Beta,Deluxe,?,"3808, -6136","3792, -6120","3792, -6152","3824, -6152","3824, -6120",3808.0000,-6136.0000
1,District 2 Beta,Deluxe,?,"3808, -6168","3792, -6152","3792, -6184","3824, -6184","3824, -6152",3808.0000,-6168.0000
1,District 2 Beta,Deluxe,?,"3840, -6136","3824, -6120","3824, -6152","3856, -6152","3856, -6120",3840.0000,-6136.0000
1,District 2 Beta,Deluxe,?,"3840, -6168","3824, -6152","3824, -6184","3856, -6184","3856, -6152",3840.0000,-6168.0000
1,District 2 Beta,Deluxe,?,"3984, -3616","3968, -3632","3968, -3600","4000, -3600","4000, -3632",3984.0000,-3616.0000
1,District 2 Beta,Deluxe,?,"3984, -3648","3968, -3664","3968, -3632","4000, -3632","4000, -3664",3984.0000,-3648.0000
1,District 2 Beta,Deluxe,?,"3984, -4944","3968, -4928","3968, -4960","4000, -4960","4000, -4928",3984.0000,-4944.0000
1,District 2 Beta,Deluxe,?,"3984, -4976","3968, -4960","3968, -4992","4000, -4992","4000, -4960",3984.0000,-4976.0000
1,District 2 Beta,Deluxe,?,"3984, -6272","3968, -6256","3968, -6288","4000, -6288","4000, -6256",3984.0000,-6272.0000
1,District 2 Beta,Deluxe,?,"3984, -6304","3968, -6288","3968, -6320","4000, -6320","4000, -6288",3984.0000,-6304.0000
1,District 2 Beta,Deluxe,?,"4016, -3616","4000, -3632","4000, -3600","4032, -3600","4032, -3632",4016.0000,-3616.0000
1,District 2 Beta,Deluxe,?,"4016, -3648","4000, -3664","4000, -3632","4032, -3632","4032, -3664",4016.0000,-3648.0000
1,District 2 Beta,Deluxe,?,"4016, -4944","4000, -4928","4000, -4960","4032, -4960","4032, -4928",4016.0000,-4944.0000
1,District 2 Beta,Deluxe,?,"4016, -4976","4000, -4960","4000, -4992","4032, -4992","4032, -4960",4016.0000,-4976.0000
1,District 2 Beta,Deluxe,?,"4016, -6272","4000, -6256","4000, -6288","4032, -6288","4032, -6256",4016.0000,-6272.0000
1,District 2 Beta,Deluxe,?,"4016, -6304","4000, -6288","4000, -6320","4032, -6320","4032, -6288",4016.0000,-6304.0000
1,District 2 Beta,Deluxe,?,"4384, -3280","4368, -3296","4368, -3264","4400, -3264","4400, -3296",4384.0000,-3280.0000
1,District 2 Beta,Deluxe,?,"4384, -3312","4368, -3328","4368, -3296","4400, -3296","4400, -3328",4384.0000,-3312.0000
1,District 2 Beta,Deluxe,?,"4384, -6608","4368, -6592","4368, -6624","4400, -6624","4400, -6592",4384.0000,-6608.0000
1,District 2 Beta,Deluxe,?,"4384, -6640","4368, -6624","4368, -6656","4400, -6656","4400, -6624",4384.0000,-6640.0000
1,District 2 Beta,Deluxe,?,"4416, -3280","4400, -3296","4400, -3264","4432, -3264","4432, -3296",4416.0000,-3280.0000
1,District 2 Beta,Deluxe,?,"4416, -3312","4400, -3328","4400, -3296","4432, -3296","4432, -3328",4416.0000,-3312.0000
1,District 2 Beta,Deluxe,?,"4416, -6608","4400, -6592","4400, -6624","4432, -6624","4432, -6592",4416.0000,-6608.0000
1,District 2 Beta,Deluxe,?,"4416, -6640","4400, -6624","4400, -6656","4432, -6656","4432, -6624",4416.0000,-6640.0000
1,District 2 Beta,Deluxe,?,"4560, -3152","4544, -3168","4544, -3136","4576, -3136","4576, -3168",4560.0000,-3152.0000
1,District 2 Beta,Deluxe,?,"4560, -3184","4544, -3200","4544, -3168","4576, -3168","4576, -3200",4560.0000,-3184.0000
1,District 2 Beta,Deluxe,?,"4560, -6736","4544, -6720","4544, -6752","4576, -6752","4576, -6720",4560.0000,-6736.0000
1,District 2 Beta,Deluxe,?,"4560, -6768","4544, -6752","4544, -6784","4576, -6784","4576, -6752",4560.0000,-6768.0000
1,District 2 Beta,Deluxe,?,"4592, -3152","4576, -3168","4576, -3136","4608, -3136","4608, -3168",4592.0000,-3152.0000
1,District 2 Beta,Deluxe,?,"4592, -3184","4576, -3200","4576, -3168","4608, -3168","4608, -3200",4592.0000,-3184.0000
1,District 2 Beta,Deluxe,?,"4592, -6736","4576, -6720","4576, -6752","4608, -6752","4608, -6720",4592.0000,-6736.0000
1,District 2 Beta,Deluxe,?,"4592, -6768","4576, -6752","4576, -6784","4608, -6784","4608, -6752",4592.0000,-6768.0000
1,District 2 Beta,Deluxe,?,"464, -4352","480, -4368","480, -4336","448, -4336","448, -4368",464.0000,-4352.0000
1,District 2 Beta,Deluxe,?,"464, -4384","480, -4400","480, -4368","448, -4368","448, -4400",464.0000,-4384.0000
1,District 2 Beta,Deluxe,?,"4784, -4806","4800, -4822","4800, -4790","4768, -4790","4768, -4822",4784.0000,-4806.0000
1,District 2 Beta,Deluxe,?,"4784, -4838","4800, -4854","4800, -4822","4768, -4822","4768, -4854",4784.0000,-4838.0000
1,District 2 Beta,Deluxe,?,"4784, -5082","4800, -5066","4800, -5098","4768, -5098","4768, -5066",4784.0000,-5082.0000
1,District 2 Beta,Deluxe,?,"4784, -5114","4800, -5098","4800, -5130","4768, -5130","4768, -5098",4784.0000,-5114.0000
1,District 2 Beta,Deluxe,?,"4816, -4806","4832, -4822","4832, -4790","4800, -4790","4800, -4822",4816.0000,-4806.0000
1,District 2 Beta,Deluxe,?,"4816, -4838","4832, -4854","4832, -4822","4800, -4822","4800, -4854",4816.0000,-4838.0000
1,District 2 Beta,Deluxe,?,"4816, -5082","4832, -5066","4832, -5098","4800, -5098","4800, -5066",4816.0000,-5082.0000
1,District 2 Beta,Deluxe,?,"4816, -5114","4832, -5098","4832, -5130","4800, -5130","4800, -5098",4816.0000,-5114.0000
1,District 2 Beta,Deluxe,?,"496, -4352","512, -4368","512, -4336","480, -4336","480, -4368",496.0000,-4352.0000
1,District 2 Beta,Deluxe,?,"496, -4384","512, -4400","512, -4368","480, -4368","480, -4400",496.0000,-4384.0000
1,District 2 Beta,Deluxe,?,"5088, -4448","5072, -4464","5072, -4432","5104, -4432","5104, -4464",5088.0000,-4448.0000
1,District 2 Beta,Deluxe,?,"5088, -4480","5072, -4496","5072, -4464","5104, -4464","5104, -4496",5088.0000,-4480.0000
1,District 2 Beta,Deluxe,?,"5088, -5440","5072, -5424","5072, -5456","5104, -5456","5104, -5424",5088.0000,-5440.0000
1,District 2 Beta,Deluxe,?,"5088, -5472","5072, -5456","5072, -5488","5104, -5488","5104, -5456",5088.0000,-5472.0000
1,District 2 Beta,Deluxe,?,"5120, -4448","5104, -4464","5104, -4432","5136, -4432","5136, -4464",5120.0000,-4448.0000
1,District 2 Beta,Deluxe,?,"5120, -4480","5104, -4496","5104, -4464","5136, -4464","5136, -4496",5120.0000,-4480.0000
1,District 2 Beta,Deluxe,?,"5120, -5440","5104, -5424","5104, -5456","5136, -5456","5136, -5424",5120.0000,-5440.0000
1,District 2 Beta,Deluxe,?,"5120, -5472","5104, -5456","5104, -5488","5136, -5488","5136, -5456",5120.0000,-5472.0000
1,District 2 Beta,Deluxe,?,"5264, -4352","5248, -4368","5248, -4336","5280, -4336","5280, -4368",5264.0000,-4352.0000
1,District 2 Beta,Deluxe,?,"5264, -4384","5248, -4400","5248, -4368","5280, -4368","5280, -4400",5264.0000,-4384.0000
1,District 2 Beta,Deluxe,?,"5264, -5536","5248, -5520","5248, -5552","5280, -5552","5280, -5520",5264.0000,-5536.0000
1,District 2 Beta,Deluxe,?,"5264, -5568","5248, -5552","5248, -5584","5280, -5584","5280, -5552",5264.0000,-5568.0000
1,District 2 Beta,Deluxe,?,"5296, -4352","5280, -4368","5280, -4336","5312, -4336","5312, -4368",5296.0000,-4352.0000
1,District 2 Beta,Deluxe,?,"5296, -4384","5280, -4400","5280, -4368","5312, -4368","5312, -4400",5296.0000,-4384.0000
1,District 2 Beta,Deluxe,?,"5296, -5536","5280, -5520","5280, -5552","5312, -5552","5312, -5520",5296.0000,-5536.0000
1,District 2 Beta,Deluxe,?,"5296, -5568","5280, -5552","5280, -5584","5312, -5584","5312, -5552",5296.0000,-5568.0000
1,District 2 Beta,Deluxe,?,"640, -4478","656, -4494","656, -4462","624, -4462","624, -4494",640.0000,-4478.0000
1,District 2 Beta,Deluxe,?,"640, -4510","656, -4526","656, -4494","624, -4494","624, -4526",640.0000,-4510.0000
1,District 2 Beta,Deluxe,?,"672, -4478","688, -4494","688, -4462","656, -4462","656, -4494",672.0000,-4478.0000
1,District 2 Beta,Deluxe,?,"672, -4510","688, -4526","688, -4494","656, -4494","656, -4526",672.0000,-4510.0000
1,District 2 Beta,Deluxe,?,"944, -4806","928, -4822","928, -4790","960, -4790","960, -4822",944.0000,-4806.0000
1,District 2 Beta,Deluxe,?,"944, -4838","928, -4854","928, -4822","960, -4822","960, -4854",944.0000,-4838.0000
1,District 2 Beta,Deluxe,?,"944, -5082","928, -5066","928, -5098","960, -5098","960, -5066",944.0000,-5082.0000
1,District 2 Beta,Deluxe,?,"944, -5114","928, -5098","928, -5130","960, -5130","960, -5098",944.0000,-5114.0000
